,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
390,8443,阿瘦            ,"2,000","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,8473,山林水          ,"5,000","5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,6807,峰源-KY         ,0,"4,000","-4,000",0,0,0,0,0,0,"4,000","4,000",0,"4,000",0,0,0,0
393,2477,美隆電          ,"1,000",0,"1,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,0
394,2460,建通            ,"47,000","51,000","-4,000",0,0,0,0,0,0,"4,000","4,000",0,"4,000",0,0,0,0
395,00668K,國泰美國道瓊+U  ,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0
396,00657K,國泰日經225+U   ,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0
397,00636K,國泰中國A50+U   ,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0
398,00689R,國泰20年美債反1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000","100,000",0,0
399,00771,元大US高息特別股,0,0,0,0,0,0,0,0,0,-253,0,0,0,304,557,-253,-253
400,00737,國泰AI+Robo     ,"1,000","31,000","-30,000",0,0,0,0,0,0,"29,190",0,0,0,"38,190","9,000","29,190",-810
401,5906,台南-KY         ,"7,000","8,000","-1,000",0,0,0,0,0,0,35,35,0,35,0,0,0,-965
402,1583,程泰            ,0,"1,000","-1,000",0,0,0,0,0,0,20,20,0,20,0,0,0,-980
403,1587,吉茂            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
404,1626,艾美特-KY       ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
405,1465,偉全            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
406,1522A,堤維西甲特      ,0,0,0,0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-1,000"
407,1235,興泰            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
408,1735,日勝化          ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
409,1726,永記            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
410,2910,統領            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
411,2881B,富邦金乙特      ,0,0,0,0,0,0,0,0,0,"-1,000","19,000","20,000","-1,000",0,0,0,"-1,000"
412,2496,卓越            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
413,00775B,新光投等債15+   ,0,0,0,0,0,0,0,0,0,"-1,000",0,0,0,"50,000","51,000","-1,000","-1,000"
414,00709,富邦歐洲        ,0,0,0,0,0,0,0,0,0,"-1,000",0,0,0,"30,000","31,000","-1,000","-1,000"
415,5283,禾聯碩          ,"3,000","3,000",0,0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-1,000"
416,02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-1,000",0,0,0,0,"1,000","-1,000","-1,000"
417,6606,建德工業        ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
418,1446,宏和            ,"1,000","2,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
419,1323,永裕            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
420,1418,東華            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
421,3057,喬鼎            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
422,2514,龍邦            ,"4,000","5,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
423,9942,茂順            ,"104,000","111,000","-7,000",0,0,0,0,0,0,"6,000",0,"3,000","-3,000","9,000",0,"9,000","-1,000"
424,9937,全國            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,"4,000","4,000",0,"-1,000"
425,9918,欣天然          ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
426,6655,科定            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
427,4764,雙鍵            ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000"
428,5546,永固-KY         ,"1,000","2,000","-1,000",0,0,0,0,0,0,0,"1,000","1,000",0,0,0,0,"-1,000"
429,2468,華經            ,"286,000","287,000","-1,000",0,0,0,0,0,0,-146,0,146,-146,0,0,0,"-1,146"
430,6281,全國電          ,"2,000","3,000","-1,000",0,0,0,0,0,0,-353,0,353,-353,"3,000","3,000",0,"-1,353"
431,8478,東哥遊艇        ,"371,000","389,838","-18,838",0,0,0,0,"1,000","-1,000","18,237","12,000","2,000","10,000","23,208","14,971","8,237","-1,601"
432,3023,信邦            ,"439,161","437,779","1,382",0,0,0,0,"6,000","-6,000","3,001","4,000","1,000","3,000","1,000",999,1,"-1,617"
433,020002,元富新中國N     ,0,0,0,0,0,0,0,0,0,"-2,000",0,0,0,0,"2,000","-2,000","-2,000"
434,8481,政伸            ,0,"2,000","-2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,000"
435,8482,商億-KY         ,0,"2,000","-2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,000"
