,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
620,3026,禾伸堂          ,"73,000","61,000","12,000",0,0,0,0,0,0,"-3,000","1,000","4,000","-3,000",0,0,0,"9,000"
621,6582,申豐            ,"20,951","13,000","7,951",0,0,0,0,0,0,79,79,0,79,0,0,0,"8,030"
622,2477,美隆電          ,"8,000","3,000","5,000",0,0,0,0,0,0,"3,000","3,000",0,"3,000",0,0,0,"8,000"
623,6464,台數科          ,"8,000",0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
624,6184,大豐電          ,"9,000","1,000","8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
625,3494,誠研            ,"8,000",0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
626,2642,宅配通          ,"23,000","15,000","8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
627,2882A,國泰特          ,0,0,0,0,0,0,0,0,0,"8,000","8,000",0,"8,000",0,0,0,"8,000"
628,2033,佳大            ,"4,000","2,000","2,000",0,0,0,0,0,0,"6,000","6,000",0,"6,000",0,0,0,"8,000"
629,1451,年興            ,"37,000","29,000","8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
630,1454,台富            ,"13,000","5,000","8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
631,1464,得力            ,"21,000","15,000","6,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"8,000"
632,1558,伸興            ,"7,000","2,000","5,000",0,0,0,0,0,0,"3,000","3,000",0,"3,000","1,000","1,000",0,"8,000"
633,00700,富邦恒生國企    ,"13,000",0,"13,000",0,0,0,0,0,0,"-5,449",0,0,0,"117,601","123,050","-5,449","7,551"
634,0051,元大中型100     ,"5,000","1,000","4,000",0,0,0,0,0,0,"3,488",0,0,0,"4,488","1,000","3,488","7,488"
635,3311,閎暉            ,"14,000","7,000","7,000",0,0,0,0,0,0,426,426,0,426,0,0,0,"7,426"
636,6581,鋼聯            ,"9,165","2,000","7,165",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,165"
637,1808,潤隆            ,"56,000","47,000","9,000",0,0,0,0,0,0,"-1,915","8,085","10,000","-1,915",0,0,0,"7,085"
638,6136,富爾特          ,"9,000","2,000","7,000",0,0,0,0,0,0,3,3,0,3,0,0,0,"7,003"
639,5215,科嘉-KY         ,"11,000","4,000","7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000"
640,6281,全國電          ,"7,000",0,"7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000"
641,9905,大華            ,"9,000","2,000","7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000"
642,1463,強盛            ,"11,000","5,000","6,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"7,000"
643,2115,六暉-KY         ,"10,000","3,000","7,000",0,0,0,0,0,0,0,"1,000","1,000",0,0,0,0,"7,000"
644,2419,仲琦            ,"175,000","169,000","6,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"7,000"
645,1526,日馳            ,"23,000","16,000","7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000"
646,3669,圓展            ,"10,000","3,000","7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000"
647,3040,遠見            ,"6,000",0,"6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
648,1465,偉全            ,"8,000","2,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
649,1235,興泰            ,"8,000","1,000","7,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"6,000"
650,1256,鮮活果汁-KY     ,"8,000","2,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
651,2415,錩新            ,"9,000","3,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
652,9902,台火            ,"11,000","5,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
653,9942,茂順            ,"98,000","74,000","24,000",0,0,0,0,0,0,"-18,000",0,"10,000","-10,000","2,000","10,000","-8,000","6,000"
654,8072,陞泰            ,"32,000","26,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
